subject,party,poll_start,poll_end,pollster,grade,sample_size,population,poll_weight,poll_influence,approve,disapprove,approve_adjusted,disapprove_adjusted,registered_voter,likely_voter
Trump,D,2020-12-17,2020-12-20,American Research Group,C+,358,unregistered,0.54328552,0.06190398,2,97,4.6395259,95.885691,FALSE,FALSE
Trump,D,2020-12-17,2020-12-23,UCLA Nationscape,NA,2800,unregistered,0.37012216,0.03719558,14,85,9.9262647,89.754654,FALSE,FALSE
Trump,D,2020-12-19,2020-12-22,YouGov,B+,541,unregistered,0.68637949,0.09283144,10,83,9.2088806,84.732777,FALSE,FALSE
Trump,D,2020-12-24,2020-12-26,Morning Consult,B,959,unregistered,0.65495876,0.12721866,12,84,11.171043,87.0015,FALSE,FALSE
Trump,D,2020-12-24,2020-12-30,UCLA Nationscape,NA,2800,unregistered,0.45743574,0.08688919,14,84,9.9262647,88.754654,FALSE,FALSE
Trump,D,2020-12-30,2021-01-03,Harris Insights & Analytics,B+,1402,registered voter,1.7562093,0.66428942,19,72,13.590575,76.569725,TRUE,FALSE
Trump,D,2020-12-31,2021-01-02,Morning Consult,B,875,unregistered,0.63316573,0.21282806,12,85,11.171043,88.0015,FALSE,FALSE
Trump,D,2021-01-03,2021-01-05,YouGov,B+,564,unregistered,0.72101704,0.3318426,8,87,7.2088806,88.732777,FALSE,FALSE
Trump,D,2021-01-08,2021-01-10,Morning Consult,B,852,unregistered,0.73754739,0.47596751,11,85,10.171043,88.0015,FALSE,FALSE
Trump,D,2021-01-10,2021-01-12,YouGov,B+,561,unregistered,0.72321078,0.53129569,9,88,8.2088806,89.732777,FALSE,FALSE
Trump,D,2021-01-11,2021-01-13,Marist College,A,333.96,registered voter,0.69194501,0.53956774,6,93,7.5940517,90.858852,TRUE,FALSE
Trump,D,2021-01-09,2021-01-14,SSRS,C,330.99,unregistered,0.52134818,0.40711793,4,95,6.3379769,92.170152,FALSE,FALSE
Trump,D,2021-01-10,2021-01-13,ABC News/The Washington Post,A+,310.62,unregistered,0.6783868,0.52974852,7,91,6.5900898,90.781705,FALSE,FALSE
Trump,D,2021-01-13,2021-01-13,Data for Progress,B,448,unregistered,0.7472649,0.60884897,12.09,85.82,10.701225,87.587987,FALSE,FALSE
Trump,D,2021-01-12,2021-01-18,UCLA Nationscape,NA,2800,unregistered,0.7837686,0.6876399,18,78,13.926265,82.754654,FALSE,FALSE
