CZ,CZ Name,State,Census 2000 population,Urban Areas,Frac. Black,Racial Segregation,Income Segregation,Segregation of Poverty (<p25),Segregation of Affluence (>p75),Frac. with Commute < 15 Mins,Household Income per capita,Gini,Top 1% Income Share,Gini Bottom 99%,Frac. Between p25 and p75,Local Tax Rate,Local Government Expenditures Per Capita,State Income Tax Progressivity,State EITC Exposure,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile (Income Adjusted,High School Dropout Rate (Income Adjusted),Number of Colleges per Capita,College Tuition,College Graduation Rate (Income Adjusted),Labor Force Participation Rate,Manufacturing Employment Share,Growth in Chinese Imports 1990-2000,Teenage Labor Force Participation Rate,Migration Inflow Rate,Migration Outlflow Rate,Frac. Foreign Born,Social Capital Index,Fraction Religious,Violent Crime Rate,Fraction of Children with Single Mothers,Fraction of Adults Divorced,Fraction of Adults Married,Income Growth 2000-2006/10
31303,Kerrville,TX,"64,467",0,0.012,0.056,0.022,0.017,0.025,0.471,42197,0.481,11.13,0.37,0.517,0.02,1931,0,0,5.495,14.9,10.5,-0.005,0.016,11540,0.165,0.535,0.071,0.388,0.005,0.025,0.02,0.065,0.837,0.603,0.001,0.185,0.1,0.632,0.001
31304,Mason,TX,"3,738",0,0.001,0.058,0.015,0.03,0.009,0.589,44195,0.255,,,,0.033,1861,0,0,7.087,10.4,,,,,,0.57,0.049,0,,,,0.054,0.72,0.775,0,0.178,0.091,0.631,-0.025
31401,Midland,TX,"262,282",1,0.052,0.174,0.066,0.044,0.09,0.462,33502,0.524,14.337,0.38,0.494,0.034,2681,0,0,4.923,17.1,-1.318,0.013,0.011,812,-0.17,0.621,0.075,0.287,0.004,0.02,0.021,0.093,-0.815,0.594,0.002,0.204,0.105,0.593,0.015
31402,Pecos,TX,"31,286",0,0.027,0.109,0.033,0.021,0.041,0.632,24735,0.431,11.584,0.315,0.526,0.053,2585,0,0,6.427,14,1.343,-0.011,,,,0.517,0.078,0.004,0.004,0.012,0.021,0.118,-1.386,0.78,0.001,0.184,0.074,0.619,-0.013
31403,Fort Stockton,TX,"20,908",0,0.034,0.081,0.019,0.021,0.021,0.664,22363,0.439,9.256,0.347,0.489,0.082,2754,0,0,11.336,12.6,-3.859,0.01,,,,0.534,0.032,0.006,0.005,0.01,0.019,0.13,-1.094,0.53,0.001,0.172,0.067,0.665,0.019
31404,Alpine,TX,"18,377",0,0.006,0.192,0.041,0.03,0.045,0.705,25586,0.442,8.578,0.356,0.467,0.036,2703,0,0,6.333,12.6,-0.945,-0.007,0.054,960,-0.088,0.599,0.034,0.015,0.004,0.012,0.022,0.189,-0.263,0.6,0.001,0.218,0.095,0.573,0.02
31501,Crystal City,TX,"21,848",0,0.005,0.033,0.02,0.019,0.017,0.606,17379,0.442,10.724,0.334,0.285,0.046,2097,0,0,6.533,14,-8.178,0.035,,,,0.489,0.062,0.329,0.003,0.012,0.014,0.109,-1.574,0.777,0.002,0.249,0.068,0.563,0.004
31502,Pearsall,TX,"22,118",0,0.044,0.084,0.012,0.005,0.016,0.544,18365,0.445,9.465,0.35,0.391,0.041,3074,0,0,6.349,14,-11.674,0.012,,,,0.467,0.043,0.334,0.003,0.014,0.013,0.054,-0.801,0.882,0.003,0.222,0.074,0.607,-0.002
31503,Laredo,TX,"210,580",1,0.002,0.065,0.088,0.064,0.114,0.327,21530,0.645,21.104,0.434,0.348,0.04,2257,0,0,6.223,16.6,-11.566,0,0.009,1058,-0.058,0.525,0.037,0.362,0.003,0.013,0.016,0.281,-2.353,0.721,0.002,0.191,0.058,0.581,-0.006
31600,Brownsville,TX,"978,369",1,0.003,0.147,0.066,0.047,0.084,0.343,20392,0.577,15.093,0.426,0.301,0.026,2360,0,0,6.028,15.9,-1.41,0.012,0.005,1414,-0.021,0.522,0.082,0.795,0.003,0.015,0.013,0.282,-2.687,0.533,0.002,0.195,0.06,0.59,-0.006
31700,Corpus Christi,TX,"503,493",1,0.033,0.191,0.075,0.071,0.077,0.387,30127,0.528,13.484,0.393,0.454,0.033,2263,0,0,5.918,15.7,-2.187,0.007,0.006,1182,-0.061,0.596,0.073,0.176,0.003,0.02,0.022,0.057,-1.032,0.545,0.002,0.229,0.107,0.542,0.002
31800,College Station,TX,"208,437",1,0.13,0.16,0.082,0.077,0.09,0.451,26268,0.486,10.991,0.376,0.497,0.03,2210,0,0,6.227,15.2,1.182,-0.005,0.005,2400,0.408,0.617,0.078,0.294,0.004,0.027,0.031,0.086,-1.111,0.5,0.001,0.22,0.07,0.481,-0.004
31900,Pearland,TX,"320,912",1,0.097,0.091,0.067,0.055,0.078,0.291,34849,0.401,7.742,0.324,0.489,0.034,1988,0,0,5.65,16.7,10.619,-0.01,0.009,391,-0.251,0.619,0.167,0.874,0.003,0.043,0.032,0.084,-1.568,0.574,0.002,0.168,0.099,0.601,0.006
32000,Houston,TX,"4,504,013",1,0.171,0.281,0.13,0.105,0.154,0.21,38963,0.564,17.512,0.389,0.442,0.033,2454,0,0,5.791,17,-1.559,0.007,0.006,2535,-0.212,0.655,0.118,0.455,0.003,0.021,0.02,0.195,-1.829,0.498,0.001,0.205,0.096,0.557,-0.007
32100,Beaumont,TX,"497,770",1,0.225,0.295,0.053,0.056,0.056,0.337,31840,0.476,11.668,0.36,0.483,0.031,1992,0,0,5.695,15.4,-1.083,-0.003,0.008,6575,-0.112,0.551,0.15,0.418,0.003,0.013,0.015,0.042,-0.95,0.621,0.002,0.246,0.109,0.578,-0.006
32201,Huntsville,TX,"191,792",0,0.195,0.124,0.037,0.036,0.034,0.411,25251,0.505,13.918,0.365,0.498,0.021,2423,0,0,5.359,14.7,4.851,-0.01,0.01,1219,0.012,0.517,0.129,0.178,0.003,0.021,0.024,0.052,-1.386,0.521,0.001,0.224,0.085,0.601,-0.008
32202,Nacogdoches,TX,"103,842",0,0.175,0.141,0.039,0.037,0.042,0.439,28783,0.508,13.012,0.377,0.472,0.019,1749,0,0,5.958,13.9,1.487,-0.01,0.01,960,0.094,0.565,0.147,0.757,0.003,0.019,0.019,0.053,-1.496,0.579,0.003,0.228,0.088,0.555,-0.012
32301,San Angelo,TX,"113,973",1,0.037,0.113,0.051,0.044,0.057,0.479,31936,0.467,11.329,0.354,0.523,0.024,1440,0,0,5.299,15.1,3.469,-0.006,0.009,1416,-0.064,0.637,0.077,0.358,0.004,0.027,0.034,0.061,-0.388,0.611,0.001,0.218,0.104,0.565,-0.004
32302,Brady,TX,"23,666",0,0.013,0.046,0.023,0.02,0.023,0.577,27666,0.466,14.675,0.319,0.49,0.022,2335,0,0,6.125,12.6,7.546,-0.024,,,,0.52,0.135,0.454,0.004,0.01,0.016,0.038,-0.828,0.731,0.001,0.178,0.077,0.655,0.003
32303,Junction,TX,"6,828",0,0.002,0.05,0.032,0.033,0.038,0.542,35219,0.394,5.439,0.34,0.433,0.023,1856,0,0,6.72,11.4,16.151,-0.035,,,,0.562,0.085,0.402,0.005,0.004,0.006,0.054,-0.369,0.568,0.001,0.195,0.112,0.606,0.017
32304,Uvalde,TX,"35,212",0,0.002,0.117,0.015,0.011,0.011,0.58,26771,0.535,13.255,0.403,0.406,0.031,2366,0,0,6.031,14,-2.206,0.006,0.028,466,-0.139,0.565,0.064,0.161,0.004,0.018,0.022,0.107,-0.435,0.872,0.002,0.182,0.076,0.614,0.011
32305,Del Rio,TX,"49,316",0,0.013,0.144,0.056,0.043,0.068,0.515,24076,0.482,7.013,0.412,0.367,0.035,2350,0,0,5.212,16,-4.028,-0.011,,,,0.559,0.1,1.21,0.003,0.017,0.029,0.223,-1.797,0.524,0.001,0.183,0.065,0.619,-0.006
32306,Eagle Pass,TX,"47,297",0,0.001,0.093,0.025,0.019,0.041,0.526,18470,0.42,9.534,0.324,0.287,0.024,2138,0,0,5.251,17.2,1.012,-0.013,,,,0.507,0.101,0.399,0.003,0.02,0.025,0.378,-2.985,0.347,0.002,0.171,0.047,0.616,-0.005
32401,Big Spring,TX,"54,073",0,0.05,0.103,0.042,0.045,0.038,0.633,26412,0.447,10.352,0.344,0.508,0.039,2934,0,0,6.082,14.1,0.588,-0.015,0.037,552,-0.168,0.492,0.07,0.116,0.004,0.012,0.017,0.063,-0.701,0.706,0.001,0.197,0.085,0.626,-0.009
32402,Sweetwater,TX,"20,146",0,0.041,0.084,0.041,0.032,0.051,0.588,28676,0.417,7.36,0.344,0.479,0.031,1820,0,0,7.216,12.5,13.841,-0.01,0.05,1176,-0.011,0.565,0.112,0.326,0.003,0.015,0.019,0.037,-0.553,0.813,0.001,0.244,0.092,0.588,0.009
32403,Snyder,TX,"26,918",0,0.082,0.066,0.024,0.019,0.026,0.608,26045,0.373,7.916,0.294,0.567,0.048,2009,0,0,7.856,12.8,0.891,-0.009,0.037,750,-0.02,0.478,0.048,0.069,0.004,0.011,0.015,0.029,-0.439,0.715,0.001,0.191,0.088,0.594,0.01
32501,Abilene,TX,"191,518",1,0.059,0.123,0.066,0.052,0.08,0.487,29968,0.449,11.684,0.332,0.547,0.022,1846,0,0,5.929,13.6,11,-0.01,0.031,7843,0.04,0.618,0.07,0.162,0.004,0.021,0.023,0.037,-0.408,0.676,0.001,0.205,0.109,0.578,0
32502,Childress,TX,"9,592",0,0.13,0.055,0.006,0.003,0.011,0.757,23872,0.336,4.029,0.296,0.503,0.023,2093,0,0,5.916,13.4,7.926,-0.016,,,,0.459,0.031,0.001,0.005,0.007,0.005,0.046,0.165,0.736,0.001,0.241,0.06,0.695,0.005
32503,Haskell,TX,"15,157",0,0.048,0.022,0.003,0.001,0.002,0.612,29543,0.389,5.069,0.338,0.529,0.038,2378,0,0,7.916,10.3,10.797,-0.028,,,,0.516,0.019,0,0.004,0.006,0.01,0.041,0.115,1.049,0.001,0.18,0.073,0.659,0.015
32601,Wichita Falls,TX,"151,524",1,0.088,0.148,0.057,0.054,0.055,0.441,30238,0.419,12.378,0.296,0.6,0.022,1618,0,0,5.821,14.5,6.765,-0.014,0.007,1200,-0.096,0.644,0.124,0.913,0.005,0.024,0.037,0.047,-0.171,0.635,0.002,0.213,0.108,0.587,0.008
32602,Graham,TX,"28,556",0,0.024,0.068,0.013,0.017,0.01,0.548,31567,0.386,8.506,0.301,0.564,0.034,2295,0,0,5.504,13.5,10.139,-0.03,,,,0.561,0.112,0.093,0.005,0.017,0.02,0.032,-0.026,0.802,0.001,0.17,0.093,0.64,0.011
32603,Seymour,TX,"4,093",0,0.033,0.01,0.018,0.034,0.004,0.674,35578,0.4,,,,0.021,2829,0,0,5.971,11.8,,,,,,0.498,0.029,0.14,,0,0.009,0.02,0.837,1.017,0.001,0.192,0.084,0.622,0.012
32604,Vernon,TX,"21,022",0,0.074,0.058,0.025,0.024,0.033,0.678,32588,0.615,32.43,0.291,0.507,0.032,2126,0,0,5.626,13.3,-1.516,-0.022,0.048,720,-0.192,0.591,0.123,0.29,0.005,0.01,0.014,0.037,-0.308,0.869,0.002,0.203,0.084,0.607,-0.011
32701,Brownwood,TX,"58,246",0,0.033,0.063,0.028,0.029,0.028,0.495,30586,0.408,9.849,0.31,0.535,0.023,1735,0,0,5.841,12.8,9.944,-0.009,0.017,8400,0.064,0.557,0.153,1.168,0.004,0.014,0.014,0.035,-0.565,0.714,0.002,0.203,0.104,0.609,-0.008
32702,Stephenville,TX,"55,256",0,0.006,0.052,0.022,0.02,0.023,0.523,30856,0.453,13.86,0.315,0.535,0.027,1531,0,0,5.216,14.7,7.532,-0.016,0.018,1608,0.031,0.611,0.116,0.623,0.004,0.021,0.019,0.068,-0.963,0.607,0.001,0.15,0.076,0.62,-0.011
32801,Waco,TX,"281,618",1,0.141,0.191,0.105,0.109,0.101,0.363,31690,0.492,12.76,0.364,0.504,0.023,1729,0,0,5.56,14.9,1.721,0.002,0.014,6505,0.074,0.604,0.147,0.902,0.004,0.021,0.021,0.059,-0.468,0.597,0.002,0.24,0.098,0.557,-0.014
32802,Corsicana,TX,"100,377",0,0.166,0.078,0.011,0.009,0.014,0.377,29976,0.418,7.452,0.343,0.495,0.03,1739,0,0,6.463,13.8,1.524,-0.012,0.01,540,-0.164,0.55,0.137,0.725,0.004,0.024,0.022,0.065,-1.163,0.61,0.002,0.21,0.095,0.598,0.004
32900,Killeen,TX,"330,714",1,0.193,0.091,0.059,0.052,0.064,0.383,28336,0.369,8.11,0.288,0.61,0.019,1742,0,0,5.49,15.2,3.108,-0.01,0.009,3269,-0.135,0.673,0.092,1.342,0.003,0.05,0.052,0.068,-2.246,0.458,0.001,0.205,0.098,0.602,-0.002
33000,Fort Worth,TX,"1,804,370",1,0.105,0.23,0.114,0.096,0.131,0.24,39232,0.496,15.257,0.343,0.486,0.027,2338,0,0,5.928,16.6,-0.276,0.007,0.006,4313,-0.159,0.682,0.142,0.834,0.004,0.038,0.032,0.109,-1.102,0.519,0.001,0.195,0.11,0.579,-0.007
33100,Dallas,TX,"3,405,666",1,0.151,0.262,0.134,0.112,0.154,0.218,43436,0.561,19.639,0.364,0.454,0.033,2574,0,0,6.018,16.6,-1.675,0.004,0.009,4829,-0.168,0.699,0.126,0.816,0.004,0.031,0.029,0.172,-1.179,0.526,0.002,0.202,0.101,0.554,-0.012
33200,Paris,TX,"185,835",1,0.105,0.129,0.037,0.039,0.037,0.39,32552,0.418,9.075,0.327,0.532,0.021,1969,0,0,6.042,14.2,5.65,-0.014,0.011,1551,-0.088,0.602,0.187,0.525,0.004,0.028,0.025,0.038,-0.884,0.592,0.003,0.212,0.107,0.597,-0.01
33300,Tyler,TX,"434,643",1,0.142,0.2,0.032,0.025,0.037,0.33,32245,0.483,11.932,0.364,0.513,0.022,1527,0,0,5.168,15,3.891,-0.009,0.018,1469,-0.203,0.56,0.122,1.334,0.004,0.025,0.02,0.052,-0.807,0.594,0.002,0.204,0.097,0.621,-0.002
33400,Longview,TX,"289,849",1,0.193,0.121,0.031,0.028,0.031,0.361,32365,0.47,11.649,0.354,0.511,0.032,1733,0,0,5.525,14.6,4.051,-0.008,0.017,3851,-0.11,0.585,0.157,1.02,0.004,0.016,0.016,0.041,-0.387,0.622,0.003,0.218,0.104,0.593,-0.003
33500,Texarkana,TX,"235,988",1,0.201,0.163,0.039,0.034,0.041,0.399,31309,0.458,10.247,0.356,0.501,0.02,1876,0,0,5.48,14.2,4.345,-0.003,0.008,659,-0.207,0.563,0.163,0.733,0.003,0.012,0.012,0.039,-0.856,0.657,0.003,0.252,0.105,0.579,-0.007
33601,Lawton,OK,"171,610",1,0.131,0.105,0.057,0.059,0.058,0.472,27931,0.389,8.63,0.303,0.57,0.014,1627,0,0,4.616,17.1,-1.779,-0.009,0.006,1470,-0.167,0.618,0.108,0.569,0.004,0.028,0.035,0.043,-1.228,0.653,0.002,0.223,0.11,0.578,0.003
33602,Altus,OK,"48,010",0,0.074,0.081,0.047,0.043,0.05,0.621,28343,0.376,7.529,0.301,0.551,0.013,2464,0,0,4.88,15.6,5.331,-0.004,0.021,1440,-0.109,0.582,0.086,0.503,0.004,0.016,0.023,0.034,-0.928,0.894,0.001,0.199,0.11,0.592,0.001
33603,Frederick,OK,"9,287",0,0.089,0.02,0.011,0.002,0.022,0.538,29047,0.311,5.457,0.256,0.449,0.011,1734,0,0,6.161,13.8,-8.75,0.017,,,,0.512,0.151,2.565,0.004,0.012,0.018,0.043,-0.338,0.97,0.002,0.193,0.088,0.616,-0.023
33700,Ardmore,OK,"117,982",0,0.042,0.077,0.019,0.015,0.022,0.442,29691,0.412,9.046,0.321,0.533,0.014,1642,0,0,4.889,15.7,-2.527,-0.007,0.008,882,-0.166,0.575,0.144,0.998,0.005,0.016,0.015,0.02,-0.366,0.761,0.003,0.197,0.113,0.609,-0.001
33801,Elk City,OK,"60,885",0,0.031,0.076,0.024,0.018,0.032,0.604,28315,0.378,6.759,0.31,0.542,0.018,1895,0,0,5.11,14.1,1.21,0.01,0.016,1485,-0.007,0.591,0.076,1.884,0.005,0.013,0.013,0.023,-0.062,0.836,0.001,0.185,0.102,0.562,0.01
33802,Chickasha,OK,"75,666",1,0.03,0.152,0.042,0.031,0.051,0.382,28080,0.393,7.397,0.319,0.547,0.012,1440,0,0,4.687,15.5,-1.913,-0.007,0.013,1176,-0.041,0.581,0.139,0.818,0.004,0.032,0.026,0.016,-0.745,0.712,0.002,0.2,0.111,0.597,0.002
33803,Oklahoma City,OK,"1,154,246",1,0.1,0.17,0.096,0.083,0.107,0.305,34352,0.477,12.936,0.348,0.517,0.017,1775,0,0,4.687,17,-3.512,0.018,0.017,3426,-0.01,0.646,0.105,1.364,0.004,0.019,0.017,0.054,-0.49,0.596,0.001,0.234,0.122,0.549,0
33901,Ada,OK,"69,207",0,0.032,0.033,0.032,0.029,0.033,0.458,25140,0.427,9.299,0.334,0.496,0.019,2173,0,0,5.012,15.2,-3.446,0.008,0.014,1470,-0.009,0.547,0.133,0.913,0.004,0.02,0.02,0.011,-0.078,0.626,0.002,0.202,0.112,0.594,0.012
33902,Sherman,TX,"178,371",1,0.053,0.122,0.035,0.033,0.036,0.372,32930,0.412,8.671,0.326,0.544,0.02,1840,0,0,5.715,14.8,8.063,-0.01,0.017,4705,0,0.597,0.18,1.282,0.004,0.025,0.022,0.032,-0.678,0.641,0.001,0.202,0.114,0.584,-0.007
34001,Hot Springs,AR,"210,357",1,0.137,0.176,0.03,0.032,0.024,0.384,31877,0.473,12.163,0.352,0.503,0.014,1323,1,0,4.738,17.1,-1.747,0.002,0.024,3910,-0.017,0.564,0.199,2.903,0.004,0.013,0.011,0.027,-0.572,0.597,0.002,0.226,0.114,0.591,-0.008
34002,Idabel,OK,"97,397",0,0.059,0.163,0.015,0.017,0.011,0.423,26431,0.387,7.085,0.316,0.46,0.012,1318,0,0,4.887,15.6,-1.466,0,0.021,1136,-0.138,0.552,0.197,0.452,0.004,0.007,0.01,0.034,-1.12,0.596,0.002,0.221,0.11,0.603,-0.005
34101,Sand Point,AK,"2,697",0,0.016,0,0,0,0,0.945,16696,0.332,,,,0.072,5546,0,0,,12.2,,,,,,0.793,0.449,,,0.016,0.013,0.183,,0.11,0.004,0.282,0.08,0.633,-0.115
34102,Anchorage,AK,"369,296",1,0.041,0.082,0.082,0.073,0.092,0.364,41724,0.35,8.657,0.264,0.475,0.02,3857,0,0,8.706,20,-5.599,0.044,0.008,2786,-0.2,0.715,0.024,,0.005,0.029,0.029,0.065,,0.344,0.002,0.2,0.125,0.552,0.002
34103,Valdez,AK,"10,195",0,0.003,0.013,0.045,0.033,0.056,0.687,39972,0.33,3.202,0.298,0.434,0.043,13621,0,0,10.053,16.5,-0.438,-0.004,0.196,2719,,0.663,0.039,,0.006,0.022,0.029,0.052,,0.225,0.003,0.166,0.114,0.566,0.003
34104,Bristol Bay,AK,"1,258",0,0.006,0,0,0,0,0.744,39909,0.283,,,,0.054,11742,0,0,11.36,20.7,,,,,,0.715,0.015,,,,,0.006,,0.215,0,0.112,0.129,0.541,0.024
34105,Kotzebue,AK,"7,208",0,0.002,0.044,0.03,0.022,0.032,0.864,27613,0.302,3.179,0.27,0.583,0.075,,0,0,,17.9,-25.289,0.095,,,,0.629,0.002,,0.005,0.018,0.027,0.014,,0.391,0.028,0.248,0.066,0.425,-0.017
34106,Nome,AK,"9,196",0,0.004,0.143,0.066,0.036,0.081,0.928,29589,0.392,6.635,0.325,0.551,0.015,3670,0,0,,14.2,-30.813,0.017,,,,0.605,0.009,,0.006,0.014,0.02,0.015,,0.486,0.004,0.209,0.074,0.398,-0.003
34107,Dillingham,AK,"6,745",0,0.003,0.082,0.037,0.036,0.028,0.812,31291,0.377,4.54,0.332,0.494,0.011,6661,0,0,,14.1,-28.735,0.109,,,,0.606,0.017,,0.006,0.013,0.022,0.009,,0.304,0.003,0.195,0.091,0.49,-0.001
34108,Kodiak,AK,"13,913",0,0.009,0.076,0.028,0.013,0.031,0.752,38933,0.371,14.251,0.229,0.594,0.017,3471,0,0,8.42,20.3,-1.741,0.007,,,,0.741,0.168,,0.005,0.016,0.036,0.167,,0.256,0.004,0.137,0.102,0.604,-0.018
34109,Juneau,AK,"37,347",0,0.007,0.051,0.039,0.036,0.043,0.547,43595,0.283,5.475,0.229,0.479,0.026,4509,0,0,9.217,27.7,-4.643,0.036,0.027,2460,-0.208,0.738,0.017,,0.006,0.014,0.018,0.051,,0.24,0.004,0.193,0.117,0.54,0.001
34110,Sitka,AK,"15,519",0,0.003,0.04,0.007,0.009,0.005,0.805,42159,0.275,4.478,0.23,0.581,0.019,4665,0,0,8.366,17.1,5.428,0.004,0.064,7250,,0.718,0.058,,0.007,0.006,0.016,0.041,,0.386,0.004,0.188,0.119,0.574,0.001
34111,Ketchikan,AK,"20,216",0,0.004,0.112,0.037,0.039,0.036,0.556,39002,0.331,7.918,0.252,0.532,0.022,3802,0,0,8.46,18.5,-6.395,0.042,,,,0.721,0.057,,0.006,0.007,0.012,0.045,,0.306,0.005,0.21,0.134,0.553,0.001
34112,Bethel,AK,"23,034",0,0.003,0.132,0.052,0.02,0.095,0.909,23593,0.429,6.028,0.369,0.487,0.01,1789,0,0,,14.2,-32.785,0.072,,,,0.616,0.007,,0.006,0.009,0.02,0.01,,0.568,0.003,0.195,0.062,0.443,0.004
34113,Barrow,AK,"7,385",0,0.007,0.034,0.009,0.002,0.017,0.879,39123,0.261,5.017,0.211,0.412,,,0,0,,14.8,-25.019,0.098,0.135,1680,-0.144,0.721,0.004,,0.007,0.008,0.022,0.058,,0.231,0.001,0.25,0.092,0.427,-0.072
34114,Unalaska,AK,"5,465",0,0.03,0.039,0.028,0.018,0.026,0.852,23637,0.285,,,,0.07,2949,0,0,,16.7,,,,,,0.816,0.317,,,0.018,0.029,0.214,,0.166,0.008,0.134,0.128,0.512,-0.118
34115,Fairbanks,AK,"97,458",1,0.05,0.139,0.06,0.051,0.067,0.477,35935,0.311,7.605,0.235,0.541,0.016,2655,0,0,8.849,18.2,-3.754,0.051,0.01,2460,-0.157,0.725,0.022,,0.005,0.033,0.039,0.042,,0.342,0.002,0.177,0.106,0.56,0.004
34201,Havre,MT,"25,840",0,0.001,0.472,0.042,0.043,0.04,0.714,27557,0.367,5.873,0.309,0.581,0.025,2021,0,0,6.557,15.3,-4.699,0.018,0.116,1979,-0.033,0.641,0.014,0.021,0.005,0.01,0.014,0.018,0.976,0.546,0.003,0.223,0.092,0.569,0.008
34202,Shelby,MT,"24,938",0,0.001,0.515,0.022,0.018,0.024,0.664,25615,0.385,6.095,0.324,0.531,0.028,2671,0,0,6.803,14.6,-7.629,0.014,0.04,1620,-0.115,0.606,0.016,0.753,0.005,0.007,0.013,0.023,0.596,0.713,0.001,0.193,0.088,0.57,0.002
34203,Great Falls,MT,"95,101",1,0.009,0.114,0.06,0.063,0.056,0.538,32458,0.388,9.7,0.291,0.614,0.02,1763,0,0,5.102,16.7,12.992,-0.021,0.021,5187,-0.188,0.642,0.034,0.725,0.005,0.019,0.025,0.022,0.698,0.487,0.003,0.2,0.113,0.588,0.001
34204,Lewistown,MT,"12,386",0,0.001,0.012,0.003,0.003,0.002,0.685,31401,0.352,6.108,0.291,0.571,0.024,1734,0,0,5.873,16.4,16.404,-0.01,,,,0.628,0.048,0.016,0.007,0.013,0.011,0.01,1.756,0.525,0.002,0.143,0.106,0.596,0.009
34301,Cody,WY,"37,247",0,0.001,0.021,0.018,0.018,0.019,0.617,32675,0.354,9.305,0.261,0.624,0.031,3675,0,0,7.041,16.3,14.809,-0.001,0.027,1128,-0.086,0.628,0.056,0.234,0.007,0.011,0.014,0.019,-0.026,0.486,0.001,0.153,0.106,0.614,0.019
34302,Worland,WY,"13,171",0,0.002,0.047,0.012,0.009,0.013,0.766,34375,0.376,15.103,0.225,0.647,0.028,2810,0,0,6.149,15.8,7.028,,,,,0.651,0.059,-0.003,0.007,0.01,0.017,0.02,1.624,0.508,0.003,0.157,0.109,0.627,0.023
34303,Riverton,WY,"35,804",0,0.001,0.226,0.02,0.021,0.019,0.632,30954,0.435,10.233,0.332,0.544,0.021,2643,0,0,8.755,14.6,-2.51,0.035,0.028,1108,-0.032,0.649,0.03,2.156,0.006,0.014,0.016,0.008,-0.09,0.421,0.001,0.216,0.127,0.559,0.016
34304,Sheridan,WY,"46,306",0,0.001,0.421,0.018,0.012,0.023,0.583,32114,0.501,20.947,0.292,0.561,0.024,2865,0,0,6.88,15.5,1.819,0.017,0.043,1304,-0.164,0.648,0.028,0.025,0.006,0.015,0.017,0.013,1.138,0.454,0.001,0.204,0.121,0.58,0.006
34305,Miles City,MT,"12,895",0,0.001,0.023,0.032,0.031,0.031,0.755,30026,0.345,7.98,0.265,0.611,0.024,2043,0,0,5.025,15.9,10.444,-0.006,0.078,1440,0.024,0.634,0.023,0.085,0.007,0.01,0.01,0.014,0.593,0.506,0.002,0.219,0.118,0.56,0.007
34306,Jordan,MT,"1,279",0,0.001,0,0,0,0,0.739,27449,0.288,,,,0.035,2161,0,0,6.802,11.9,,,,,,0.67,0.014,0.038,,,,0.011,0.205,0.408,0.001,0.111,0.055,0.673,0.031
34307,Colstrip,MT,"12,102",0,0.002,0.495,0.061,0.054,0.072,0.693,28921,0.325,4.599,0.279,0.585,0.057,6886,0,0,7.773,13.4,-3.745,0.01,0.083,,0.092,0.647,0.015,0.026,0.006,0.015,0.019,0.01,-0.134,0.462,0.002,0.192,0.097,0.578,0.004
34308,Billings,MT,"152,638",1,0.004,0.065,0.072,0.06,0.083,0.446,35377,0.415,10.966,0.305,0.582,0.021,1750,0,0,5.226,17.9,6.772,-0.001,0.02,4681,-0.08,0.678,0.057,0.142,0.006,0.023,0.019,0.014,1.177,0.462,0.001,0.197,0.117,0.57,0.005
34309,Harlowton,MT,"4,191",0,0.001,0.005,0.003,0,0.003,0.696,26263,0.372,,,,0.042,1850,0,0,6.585,13.4,,,,,,0.63,0.017,0.112,,0,0.006,0.024,1.232,0.438,0,0.126,0.084,0.628,0.006
34401,Dillon,MT,"9,202",0,0.001,0.008,0.011,0.003,0.013,0.73,27667,0.404,13.733,0.266,0.62,0.027,2072,0,0,5.431,18.6,11.176,-0.003,0.109,2072,-0.12,0.637,0.044,0.015,0.007,0.013,0.018,0.016,0.908,0.485,0,0.123,0.083,0.57,0.011
34402,Bozeman,MT,"93,985",0,0.002,0.021,0.044,0.043,0.05,0.527,31692,0.414,11.081,0.303,0.605,0.021,1735,0,0,6.05,16.8,13.863,-0.005,0.011,2272,0.082,0.71,0.073,1.066,0.006,0.033,0.022,0.026,1.329,0.267,0.001,0.148,0.092,0.562,0.015
34403,Helena,MT,"70,150",0,0.002,0.009,0.043,0.046,0.046,0.472,33610,0.355,8.999,0.265,0.611,0.029,1668,0,0,5.237,17.3,8.937,0.001,0.029,8644,0.066,0.691,0.041,0.368,0.006,0.023,0.02,0.015,3.071,0.466,0.001,0.184,0.126,0.6,0.006
34404,Butte-Silver Bow,MT,"54,033",0,0.002,0.027,0.036,0.031,0.042,0.61,30173,0.398,6.68,0.331,0.551,0.03,1569,0,0,5.335,18,6.263,0.017,0.037,2123,-0.048,0.588,0.05,0.193,0.005,0.013,0.018,0.014,1.018,0.529,0.001,0.215,0.12,0.543,-0.002
34501,Bonners Ferry,ID,"9,871",0,0.001,0.011,0.003,0.002,0,0.438,28983,0.383,10.362,0.28,0.568,0.016,2032,0.4,0,4.668,19.5,4.734,0.031,,,,0.588,0.144,0.463,0.006,0.017,0.018,0.029,-0.295,0.358,0.001,0.156,0.11,0.616,-0.011
34502,Libby,MT,"18,837",0,0.001,0.004,0.009,0.005,0.016,0.599,26385,0.369,9.077,0.278,0.58,0.025,1638,0,0,5.077,17.1,5.058,-0.01,,,,0.535,0.127,0.033,0.004,0.014,0.014,0.014,0.66,0.382,0.001,0.181,0.116,0.619,0.02
